first_name,last_name,squad_number,position
Euan,Anderson,,
Jordan,Anderson,,
Andrew,Banks,,
David,Banks,,
Harry,Banks,,
Joseph,Banks,,
Neil,Bonsor,,
Kyle,Campbell,,
Chris,Cherry,,
Jamie,Conway,,
Gavin,Craig,,
John,Currie,,
Ben,Dixon,,
Jordan,Donnelly,,
Liam,Dunnachie,1,
Michael,Eastcott,,
Sean,Ewart,,
Michael,Fairlie,,
Shaun,Ferguson,,
Blair,Grieve,,
Grant,Herron,,
Taylor,Hollywood,,
Euan,Kerr,,
Liam,Kerr,,
Michael,Kirk,,
Craig,Lindsay,,
Iain,Lindsay,,
Grant Benjamin,McGeechan,,
Ronan,McHugh,,
Andrew,McLatchie,,
Ryan,McLean,,
Blair,McMeechan,,
Callum,McPherson,,
Clark,Thomson,,
Gordon,Stewart,6,
Andy,Coughtrie,,
Pele,,,
Ally,Millar,,
James,Lowson,,
Niall,McHugh,,
Kevin,Makowski,,
